
Location		Count
I/was/very/proud/of/my/nickname/throughout/high/school/but/today-/I/couldn’t/be/any/different/to/what/my/nickname/was.			1
Check/back/tomorrow;/I/will/see/if/the/book/has/arrived.			1
I/want/to/buy/a/onesie…/but/know/it/won’t/suit/me.			3
Cats/are/good/pets,/for/they/are/clean/and/are/not/noisy.			1
The/stranger/officiates/the/meal.			2
I/currently/have/4/windows/open/up…/and/I/don’t/know/why.			1
Sometimes/it/is/better/to/just/walk/away/from/things/and/go/back/to/them/later/when/you’re/in/a/better/frame/of/mind.			1
Wow,/does/that/work?			2
Everyone/was/busy,/so/I/went/to/the/movie/alone.			1
The/shooter/says/goodbye/to/his/love.			1
When/I/was/little/I/had/a/car/door/slammed/shut/on/my/hand./I/still/remember/it/quite/vividly.			3
If/you/like/tuna/and/tomato/sauce-/try/combining/the/two./It’s/really/not/as/bad/as/it/sounds.			1
The/quick/brown/fox/jumps/over/the/lazy/dog.			1
She/wrote/him/a/long/letter,/but/he/didn't/read/it.			4
I/often/see/the/time/11:11/or/12:34/on/clocks.			2
Tom/got/a/small/piece/of/pie.			1
She/only/paints/with/bold/colors;/she/does/not/like/pastels.			2
tcm:102-000003			20
If/Purple/People/Eaters/are/real…/where/do/they/find/purple/people/to/eat?			1
There/were/white/out/conditions/in/the/town;/subsequently,/the/roads/were/impassable.			1
Rock/music/approaches/at/high/velocity.			1
Two/seats/were/vacant.			1
Where/do/random/thoughts/come/from?			1
The/memory/we/used/to/share/is/no/longer/coherent.			1
My/Mum/tries/to/be/cool/by/saying/that/she/likes/all/the/same/things/that/I/do.			1
Hurry!			1
The/book/is/in/front/of/the/table.			2
Last/Friday/in/three/week’s/time/I/saw/a/spotted/striped/blue/worm/shake/hands/with/a/legless/lizard.			1
He/turned/in/the/research/paper/on/Friday;/otherwise,/he/would/have/not/passed/the/class.			1
Let/me/help/you/with/your/baggage.			1
I/am/happy/to/take/your/donation;/any/amount/will/be/greatly/appreciated.			2
I/really/want/to/go/to/work,/but/I/am/too/sick/to/drive.			2
tcm:102-1002			10
This/is/a/Japanese/doll.			1
Don't/step/on/the/broken/glass.			2
I/checked/to/make/sure/that/he/was/still/alive.			1
Should/we/start/class/now,/or/should/we/wait/for/everyone/to/get/here?			2
She/did/not/cheat/on/the/test,/for/it/was/not/the/right/thing/to/do.			1
She/did/her/best/to/help/him.			3
A/song/can/make/or/ruin/a/person’s/day/if/they/let/it/get/to/them.			1
The/river/stole/the/gods.			1
It/was/getting/dark,/and/we/weren’t/there/yet.			1
If/the/Easter/Bunny/and/the/Tooth/Fairy/had/babies/would/they/take/your/teeth/and/leave/chocolate/for/you?			1
The/lake/is/a/long/way/from/here.			2
Writing/a/list/of/random/sentences/is/harder/than/I/initially/thought/it/would/be.			2
tcm:101-1001			20
I/want/more/detailed/information.			1
Abstraction/is/often/one/floor/above/you.			2
The/old/apple/revels/in/its/authority.			2
We/have/never/been/to/Asia,/nor/have/we/visited/Africa.			1
tcm:103-000004			10
Malls/are/great/places/to/shop;/I/can/find/everything/I/need/under/one/roof.			2
tcm:102-1012			10
If/I/don’t/like/something,/I’ll/stay/away/from/it.There/was/no/ice/cream/in/the/freezer,/nor/did/they/have/money/to/go/to/the/store.			1
I/am/counting/my/calories,/yet/I/really/want/dessert.			1
The/sky/is/clear;/the/stars/are/twinkling.			1
Is/it/free?			1
How/was/the/math/test?			3
tcm:101-000002			30
They/got/there/early,/and/they/got/really/good/seats.			1
I/will/never/be/this/young/again./Ever./Oh/damn…/I/just/got/older.			3
Sixty-Four/comes/asking/for/bread.			2
Joe/made/the/sugar/cookies;/Susan/decorated/them.			2
I'd/rather/be/a/bird/than/a/fish.			2
What/was/the/person/thinking/when/they/discovered/cow’s/milk/was/fine/for/human/consumption…/and/why/did/they/do/it/in/the/first/place!?			1
I/think/I/will/buy/the/red/car,/or/I/will/lease/the/blue/one.			2
Wednesday/is/hump/day,/but/has/anyone/asked/the/camel/if/he’s/happy/about/it?			2
He/ran/out/of/money,/so/he/had/to/stop/playing/poker.			1
She/borrowed/the/book/from/him/many/years/ago/and/hasn't/yet/returned/it.			1
He/said/he/was/not/there/yesterday;/however,/many/people/saw/him/there.			2
Someone/I/know/recently/combined/Maple/Syrup/&/buttered/Popcorn/thinking/it/would/taste/like/caramel/popcorn./It/didn’t/and/they/don’t/recommend/anyone/else/do/it/either.			3
Location		Count
tcm:231-1335			1
tcm:440-6394			1
tcm:894-7291			1
tcm:588-2252			1
tcm:165-1917			1
tcm:174-9440			1
tcm:363-7321			1
tcm:582-8671			1
tcm:450-1352			1
tcm:960-4444			1
tcm:172-6723			1
tcm:549-4915			1
tcm:658-3914			1
tcm:897-7114			1
tcm:431-8538			1
tcm:609-1554			1
tcm:280-7293			1
tcm:412-4710			1
tcm:300-3225			1
tcm:582-6025			1
tcm:583-9382			1
tcm:847-4053			1
tcm:219-4126			1
tcm:810-6330			1
tcm:169-6024			1
tcm:405-2176			1
tcm:819-3713			1
tcm:558-1450			1
tcm:770-5876			1
tcm:504-3958			1
tcm:977-8640			1
tcm:169-8681			1
tcm:197-4131			1
tcm:339-2772			1
tcm:743-8465			1
tcm:252-6950			1
tcm:260-1423			1
tcm:912-1854			1
tcm:176-9914			1
tcm:659-8196			1
tcm:274-3163			1
tcm:507-6016			1
tcm:730-7413			1
tcm:971-1402			1
tcm:615-4312			1
tcm:868-8355			1
tcm:328-5791			1
tcm:817-3239			1
tcm:685-3582			1
tcm:410-4236			1
tcm:282-7722			1
tcm:929-3423			1
tcm:269-8517			1
tcm:646-4917			1
tcm:285-8905			1
tcm:935-8850			1
tcm:595-7070			1
tcm:451-2037			1
tcm:530-1592			1
tcm:614-3651			1
tcm:581-6634			1
tcm:507-8669			1
tcm:495-3663			1
tcm:711-3600			1
tcm:540-7552			1
tcm:260-2782			1
tcm:646-4904			1
tcm:934-5511			1
I/am/counting/my/calories,/yet/I/really/want/dessert.			114
tcm:988-4305			1
tcm:784-6261			1
tcm:468-6282			1
tcm:337-2293			1
tcm:189-8313			1
tcm:934-6847			1
tcm:285-8917			1
tcm:113-9375			1
tcm:982-9430			1
tcm:419-1630			1
tcm:420-1853			1
tcm:728-6511			1
tcm:565-7554			1
tcm:921-5809			1
tcm:514-1135			1
tcm:930-2341			1
tcm:592-3672			1
tcm:700-7915			1
tcm:111-4069			1
tcm:514-2468			1
tcm:188-7624			1
tcm:235-5804			1
tcm:695-8220			1
tcm:454-3248			1
tcm:938-3882			1
tcm:308-2154			1
tcm:340-2947			1
tcm:984-1102			1
tcm:483-2026			1
tcm:549-8472			1
tcm:629-3847			1
tcm:281-4419			1
tcm:144-8607			1
tcm:946-5864			1
tcm:976-5349			1
tcm:957-5049			1
tcm:768-7177			1
tcm:705-9222			1
tcm:127-6249			1
tcm:517-4953			1
tcm:954-1630			1
tcm:142-5945			1
tcm:155-5655			1
tcm:395-2491			1
tcm:900-1521			1
tcm:369-3510			1
tcm:826-1073			1
tcm:137-3883			1
tcm:189-7005			1
tcm:818-1719			1
tcm:455-5266			1
tcm:978-8055			1
tcm:763-9449			1
tcm:275-1644			1
He/turned/in/the/research/paper/on/Friday;/otherwise,/he/would/have/not/passed/the/class.			99
tcm:143-6642			1
tcm:312-3553			1
tcm:509-7864			1
tcm:341-4993			1
tcm:965-9679			1
tcm:633-6101			1
tcm:583-8063			1
tcm:882-4732			1
tcm:685-3542			1
tcm:600-6766			1
tcm:649-2190			1
tcm:305-9711			1
tcm:845-2642			1
tcm:413-4136			1
tcm:755-8760			1
tcm:961-6445			1
tcm:186-9732			1
tcm:626-3924			1
tcm:480-2185			1
tcm:176-9962			1
tcm:984-2455			1
tcm:903-7552			1
tcm:810-6303			1
tcm:976-6699			1
tcm:646-7143			1
tcm:199-9448			1
tcm:509-7833			1
tcm:273-3761			1
tcm:207-7789			1
tcm:126-6839			1
tcm:889-1679			1
tcm:914-3292			1
tcm:543-2590			1
tcm:406-1960			1
tcm:333-5260			1
tcm:607-2380			1
tcm:808-5425			1
tcm:880-5506			1
tcm:627-5990			1
tcm:130-6954			1
tcm:340-1607			1
tcm:555-5105			1
tcm:778-2134			1
tcm:403-6928			1
tcm:170-8845			1
tcm:234-1230			1
tcm:956-6968			1
tcm:748-2602			1
tcm:658-8764			1
tcm:877-2676			1
tcm:797-1136			1
tcm:562-5028			1
tcm:728-5250			1
tcm:189-8364			1
tcm:756-8103			1
tcm:500-9175			1
tcm:465-6375			1
tcm:549-8433			1
tcm:273-9963			1
tcm:235-3260			1
tcm:160-7797			1
tcm:448-7905			1
tcm:514-8638			1
tcm:650-9808			1
tcm:996-8967			1
tcm:482-7452			1
tcm:446-6108			1
tcm:690-4380			1
tcm:734-9379			1
tcm:658-6114			1
tcm:429-5039			1
tcm:931-3070			1
tcm:526-1455			1
tcm:275-1684			1
tcm:193-8403			1
tcm:469-8221			1
tcm:367-9262			1
tcm:244-2313			1
tcm:823-8624			1
tcm:681-2984			1
tcm:717-2054			1
tcm:401-6450			1
tcm:876-6771			1
tcm:602-4681			1
tcm:146-2925			1
tcm:198-8747			1
tcm:682-4971			1
tcm:365-2990			1
tcm:496-6915			1
tcm:140-5403			1
tcm:326-5226			1
tcm:852-3974			1
tcm:470-8430			1
tcm:910-3955			1
tcm:519-7645			1
tcm:710-6465			1
tcm:296-9428			1
tcm:940-8355			1
tcm:780-4320			1
tcm:298-1162			1
tcm:936-3364			1
tcm:670-3329			1
tcm:459-8459			1
tcm:974-6127			1
tcm:531-7099			1
tcm:655-7582			1
tcm:240-5307			1
tcm:229-1781			1
tcm:405-4774			1
tcm:919-4919			1
tcm:679-6963			1
tcm:950-8109			1
tcm:881-7539			1
tcm:701-7379			1
tcm:191-4398			1
tcm:309-1994			1
tcm:675-1091			1
tcm:826-9884			1
tcm:178-2916			1
tcm:962-7128			1
tcm:785-2153			1
tcm:922-2940			1
tcm:492-8600			1
tcm:805-6866			1
tcm:255-6874			1
tcm:590-4472			1
tcm:585-7206			1
tcm:508-4504			1
tcm:267-5817			1
tcm:350-1426			1
tcm:459-8446			1
tcm:175-7993			1
tcm:575-6022			1
tcm:643-7238			1
tcm:929-9539			1
tcm:807-4749			1
tcm:774-2864			1
tcm:279-4815			1
tcm:778-2193			1
tcm:824-8030			1
tcm:174-8165			1
tcm:484-5304			1
tcm:782-4846			1
tcm:495-8453			1
tcm:186-8492			1
tcm:166-6188			1
tcm:848-9955			1
tcm:153-5147			1
tcm:261-8317			1
tcm:309-9002			1
tcm:797-3763			1
tcm:619-8800			1
tcm:199-5934			1
tcm:483-8199			1
tcm:328-4478			1
tcm:589-6833			1
tcm:494-7821			1
tcm:283-2251			1
tcm:920-1212			1
tcm:920-3874			1
tcm:549-9703			1
tcm:484-5317			1
tcm:217-8925			1
tcm:837-9042			1
tcm:758-6006			1
tcm:611-2427			1
tcm:590-3169			1
tcm:164-4716			1
tcm:929-9568			1
tcm:334-8575			1
Sometimes,/all/you/need/to/do/is/completely/make/an/ass/of/yourself/and/laugh/it/off/to/realise/that/life/isn’t/so/bad/after/all.			104
tcm:568-2612			1
tcm:397-5197			1
tcm:243-5226			1
tcm:336-5156			1
tcm:243-6555			1
tcm:790-9060			1
tcm:710-6429			1
tcm:704-4970			1
tcm:814-8263			1
tcm:657-5431			1
tcm:335-5734			1
tcm:743-9735			1
tcm:753-9603			1
tcm:910-3980			1
tcm:199-5904			1
tcm:987-9776			1
tcm:631-8282			1
tcm:221-5078			1
If/I/don’t/like/something,/I’ll/stay/away/from/it.			76
tcm:376-2182			1
tcm:770-4522			1
tcm:509-5263			1
tcm:773-3154			1
tcm:680-4576			1
tcm:598-9581			1
tcm:829-4803			1
tcm:917-9265			1
tcm:517-9788			1
tcm:256-6274			1
tcm:783-9133			1
tcm:815-6632			1
tcm:743-2374			1
tcm:765-7223			1
tcm:833-8548			1
tcm:284-5575			1
tcm:413-1843			1
tcm:894-1070			1
tcm:328-9331			1
tcm:980-5399			1
tcm:576-9465			1
tcm:890-5404			1
tcm:766-9374			1
tcm:621-4996			1
tcm:103-4625			1
tcm:939-8065			1
tcm:435-6938			1
tcm:560-7151			1
tcm:368-6437			1
tcm:244-8485			1
tcm:970-5507			1
tcm:731-2036			1
tcm:560-8487			1
tcm:759-5897			1
tcm:225-4665			1
tcm:778-7055			1
tcm:216-9185			1
tcm:570-3442			1
tcm:622-5573			1
tcm:422-9375			1
tcm:636-3832			1
tcm:317-1240			1
tcm:450-7589			1
tcm:623-6288			1
tcm:128-3462			1
tcm:450-6254			1
tcm:772-1029			1
tcm:683-5717			1
tcm:892-9454			1
tcm:252-3091			1
tcm:115-3630			1
tcm:827-4325			1
tcm:420-7972			1
Last/Friday/in/three/week’s/time/I/saw/a/spotted/striped/blue/worm/shake/hands/with/a/legless/lizard.			128
tcm:730-3862			1
tcm:731-2029			1
tcm:546-7212			1
tcm:478-6137			1
tcm:266-1225			1
tcm:432-3025			1
tcm:316-1969			1
tcm:384-6720			1
tcm:588-8457			1
tcm:699-7904			1
tcm:809-2505			1
tcm:655-7630			1
tcm:977-2453			1
tcm:753-9511			1
tcm:123-9241			1
tcm:782-9622			1
tcm:605-4583			1
tcm:514-3815			1
tcm:228-8180			1
tcm:655-8969			1
tcm:655-8965			1
tcm:376-3586			1
tcm:212-1106			1
tcm:930-9748			1
tcm:195-8855			1
tcm:258-7915			1
tcm:388-9911			1
tcm:743-3673			1
tcm:381-4252			1
tcm:145-3261			1
tcm:993-1634			1
tcm:689-1818			1
tcm:448-6514			1
tcm:926-7177			1
tcm:511-2558			1
tcm:340-7879			1
tcm:885-5975			1
tcm:402-3685			1
tcm:393-3210			1
tcm:811-2130			1
tcm:403-6894			1
tcm:641-5803			1
tcm:274-9251			1
tcm:336-6399			1
tcm:526-1516			1
tcm:643-6001			1
tcm:946-3196			1
tcm:870-4343			1
tcm:717-4771			1
tcm:541-4650			1
tcm:807-9616			1
tcm:194-6958			1
tcm:428-5692			1
tcm:414-2623			1
tcm:972-8268			1
tcm:374-9124			1
tcm:443-2732			1
tcm:911-5952			1
tcm:732-5223			1
tcm:213-5684			1
tcm:748-6208			1
tcm:166-7543			1
tcm:339-6240			1
tcm:793-6713			1
tcm:129-7996			1
tcm:236-1697			1
tcm:390-9638			1
tcm:556-7055			1
tcm:161-4913			1
tcm:849-3185			1
tcm:971-8941			1
tcm:280-2485			1
tcm:726-1247			1
tcm:633-1312			1
tcm:494-5234			1
tcm:120-5768			1
tcm:906-6064			1
tcm:750-4933			1
tcm:695-2116			1
tcm:528-5565			1
tcm:650-2498			1
tcm:311-7629			1
tcm:471-9235			1
tcm:395-7389			1
tcm:482-1277			1
tcm:472-1402			1
tcm:230-5586			1
tcm:380-2350			1
tcm:616-7708			1
tcm:316-9034			1
tcm:174-4517			1
