
Version		Count
92.0			1
90.0			2
96.0			1
26.0			1
24.0			3
43.0			1
87.0			1
49.0			3
61.0			3
63.0			2
40.0			1
39.0			2
16.0			2
14.0			2
1.0			1
12.0			2
33.0			1
31.0			3
5.0			1
75.0			1
54.0			1
98.0			1
58.0			1
37.0			2
18.0			2
91.0			2
70.0			1
72.0			1
74.0			1
51.0			3
93.0			4
27.0			2
25.0			1
23.0			2
21.0			2
88.0			5
42.0			3
86.0			3
44.0			2
69.0			2
48.0			1
29.0			1
81.0			1
60.0			3
41.0			1
15.0			2
36.0			1
13.0			1
32.0			1
4.0			1
76.0			1
55.0			4
97.0			2
8.0			1
57.0			1
19.0			1
38.0			1
17.0			1
Version		Count
90.0			119
71.0			96
94.0			97
52.0			103
26.0			101
22.0			83
64.0			98
87.0			82
45.0			83
68.0			95
49.0			95
40.0			124
82.0			98
63.0			94
14.0			93
3.0			93
33.0			114
10.0			102
75.0			104
7.0			117
56.0			92
98.0			92
79.0			89
37.0			107
18.0			110
70.0			102
93.0			120
51.0			95
74.0			94
25.0			92
21.0			104
67.0			99
44.0			102
86.0			104
48.0			105
29.0			101
81.0			113
85.0			103
62.0			109
36.0			106
13.0			119
2.0			105
32.0			101
6.0			87
78.0			97
55.0			112
97.0			116
59.0			112
17.0			101
92.0			104
50.0			108
96.0			85
73.0			95
24.0			112
20.0			83
43.0			96
89.0			105
66.0			121
47.0			103
28.0			102
80.0			86
84.0			100
61.0			100
39.0			107
16.0			110
1.0			91
35.0			93
12.0			111
31.0			107
5.0			113
54.0			124
9.0			91
77.0			117
58.0			98
91.0			92
72.0			99
95.0			108
30.0			102
27.0			106
23.0			88
42.0			101
88.0			88
65.0			108
69.0			114
46.0			91
60.0			110
41.0			96
83.0			106
15.0			106
34.0			96
11.0			98
4.0			103
76.0			99
53.0			115
8.0			97
57.0			105
19.0			110
38.0			120
Version		Count
92.0			1
50.0			2
71.0			2
96.0			1
52.0			2
73.0			2
94.0			1
24.0			1
20.0			1
43.0			2
45.0			4
87.0			2
66.0			2
47.0			2
68.0			1
28.0			1
80.0			3
84.0			2
63.0			1
40.0			2
16.0			1
39.0			2
14.0			2
35.0			1
12.0			1
33.0			5
10.0			1
31.0			1
7.0			2
75.0			1
98.0			1
9.0			1
56.0			1
58.0			1
72.0			2
93.0			1
30.0			1
27.0			3
25.0			1
23.0			1
21.0			1
65.0			1
42.0			1
88.0			2
44.0			2
67.0			1
46.0			3
69.0			2
29.0			1
85.0			1
83.0			1
41.0			1
15.0			1
11.0			1
4.0			1
32.0			2
6.0			1
53.0			2
55.0			1
8.0			2
97.0			2
57.0			2
17.0			2
38.0			1
Version		Count
22.0			1
50.0			1
60.0			1
85.0			1
94.0			1
65.0			1
42.0			1
69.0			1
47.0			1
18.0			1
Version		Count
91.0			1
16.0			1
24.0			1
95.0			1
72.0			1
71.0			1
82.0			1
94.0			1
55.0			1
68.0			1
Version		Count
14.0			2
71.0			1
63.0			1
62.0			1
94.0			1
6.0			1
76.0			1
87.0			1
59.0			1
Version		Count
25.0			1
95.0			1
96.0			1
74.0			1
32.0			1
83.0			1
42.0			1
98.0			1
48.0			1
38.0			1
Version		Count
92.0			1
60.0			1
11.0			1
3.0			1
73.0			1
20.0			1
43.0			1
9.0			1
46.0			1
29.0			1
Version		Count
13.0			1
96.0			1
10.0			1
5.0			1
7.0			1
86.0			1
98.0			1
37.0			1
29.0			1
17.0			1
Version		Count
39.0			1
61.0			1
74.0			1
5.0			1
73.0			1
6.0			1
30.0			1
54.0			1
75.0			1
44.0			1
Version		Count
24.0			1
34.0			1
63.0			1
76.0			1
54.0			1
55.0			1
86.0			1
9.0			1
47.0			1
29.0			1
Version		Count
92.0			1
25.0			1
34.0			1
23.0			1
83.0			1
67.0			2
45.0			1
59.0			1
17.0			1
Version		Count
80.0			1
92.0			1
35.0			1
90.0			1
34.0			1
32.0			1
5.0			1
97.0			1
77.0			1
68.0			1
Version		Count
14.0			1
1.0			1
3.0			1
74.0			1
94.0			1
6.0			1
54.0			1
7.0			1
8.0			1
18.0			1
Version		Count
Version		Count
Version		Count
27.0			1
16.0			1
2.0			1
61.0			1
85.0			1
5.0			1
67.0			1
98.0			1
68.0			1
38.0			1
Version		Count
Version		Count
Version		Count
16.0			1
36.0			1
61.0			1
33.0			1
22.0			1
82.0			1
83.0			1
78.0			1
57.0			1
58.0			1
Version		Count
Version		Count
Version		Count
91.0			1
39.0			1
92.0			1
1.0			1
11.0			2
60.0			1
74.0			1
88.0			1
65.0			1
Version		Count
Version		Count
Version		Count
Version		Count
26.0			1
35.0			1
72.0			1
60.0			1
4.0			1
21.0			1
93.0			1
65.0			1
88.0			1
77.0			1
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
39.0			1
36.0			2
61.0			1
23.0			1
65.0			1
75.0			1
97.0			1
19.0			2
Version		Count
91.0			1
14.0			1
36.0			1
2.0			1
33.0			1
51.0			1
5.0			1
83.0			1
77.0			1
37.0			1
Version		Count
Version		Count
Version		Count
Version		Count
39.0			1
14.0			1
35.0			1
50.0			1
33.0			1
51.0			1
40.0			1
53.0			1
18.0			1
49.0			1
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
16.0			1
81.0			1
60.0			1
4.0			1
86.0			1
56.0			1
47.0			1
49.0			3
Version		Count
Version		Count
Version		Count
Version		Count
81.0			1
71.0			1
94.0			1
52.0			1
53.0			1
97.0			1
87.0			1
79.0			1
29.0			1
Version		Count
39.0			2
22.0			1
50.0			1
76.0			1
75.0			1
69.0			1
68.0			1
19.0			1
Version		Count
12.0			1
94.0			1
73.0			1
49.0			1
Version		Count
71.0			1
10.0			1
32.0			1
21.0			1
62.0			1
7.0			1
55.0			1
68.0			1
Version		Count
81.0			1
36.0			1
71.0			1
21.0			1
32.0			1
75.0			1
67.0			1
45.0			1
58.0			1
Version		Count
80.0			1
26.0			1
14.0			1
13.0			1
85.0			1
20.0			1
65.0			1
86.0			1
77.0			1
Version		Count
27.0			1
34.0			1
96.0			1
32.0			1
5.0			1
87.0			1
19.0			1
79.0			1
Version		Count
61.0			1
12.0			1
60.0			1
10.0			1
40.0			1
53.0			1
75.0			1
56.0			1
68.0			1
Version		Count
16.0			1
34.0			1
12.0			1
71.0			1
82.0			1
41.0			1
76.0			1
89.0			1
37.0			1
Version		Count
27.0			2
25.0			1
61.0			1
32.0			1
75.0			1
44.0			1
78.0			1
69.0			1
79.0			1
Version		Count
2.0			1
85.0			1
50.0			1
74.0			1
64.0			1
86.0			1
66.0			1
48.0			1
18.0			1
Version		Count
91.0			3
39.0			1
81.0			2
90.0			1
40.0			1
94.0			1
7.0			1
Version		Count
80.0			1
81.0			1
50.0			1
65.0			1
43.0			1
9.0			1
69.0			2
79.0			1
18.0			1
Version		Count
14.0			2
95.0			1
96.0			1
11.0			1
40.0			1
10.0			1
6.0			1
97.0			1
66.0			1
Version		Count
15.0			1
92.0			1
14.0			1
36.0			1
72.0			1
85.0			1
42.0			1
66.0			1
56.0			1
57.0			1
Version		Count
26.0			1
70.0			1
34.0			1
11.0			1
93.0			2
65.0			1
45.0			1
48.0			1
38.0			1
Version		Count
92.0			2
90.0			2
71.0			1
96.0			1
94.0			3
52.0			1
24.0			2
20.0			1
43.0			1
45.0			3
66.0			1
68.0			1
47.0			2
28.0			1
80.0			1
61.0			1
40.0			2
35.0			1
12.0			1
33.0			2
10.0			1
31.0			1
7.0			4
54.0			1
77.0			1
98.0			1
56.0			1
37.0			2
18.0			2
70.0			2
95.0			4
72.0			2
51.0			3
93.0			2
30.0			2
27.0			1
25.0			2
23.0			1
21.0			2
88.0			3
65.0			1
67.0			1
86.0			1
44.0			1
46.0			3
48.0			3
81.0			1
60.0			2
85.0			1
83.0			1
62.0			1
15.0			1
36.0			2
2.0			2
34.0			2
32.0			2
4.0			1
6.0			2
78.0			1
55.0			2
59.0			1
Version		Count
25.0			1
13.0			1
71.0			1
33.0			1
74.0			1
31.0			1
43.0			1
78.0			1
77.0			1
49.0			1
Version		Count
80.0			1
36.0			1
96.0			2
11.0			1
41.0			1
76.0			1
47.0			1
18.0			1
49.0			1
Version		Count
91.0			2
92.0			1
25.0			1
90.0			1
61.0			1
32.0			1
65.0			1
9.0			1
Version		Count
25.0			1
12.0			1
10.0			1
4.0			1
52.0			1
6.0			1
44.0			1
19.0			1
29.0			1
Version		Count
91.0			1
92.0			1
84.0			1
96.0			1
10.0			1
62.0			1
20.0			1
54.0			1
8.0			1
59.0			1
Version		Count
81.0			1
12.0			2
96.0			1
71.0			1
74.0			1
52.0			1
94.0			1
54.0			1
17.0			1
Version		Count
39.0			1
36.0			1
22.0			1
5.0			1
62.0			1
86.0			1
8.0			1
77.0			1
58.0			1
48.0			1
Version		Count
90.0			1
95.0			1
34.0			1
22.0			1
96.0			1
63.0			1
31.0			1
65.0			1
66.0			1
29.0			1
Version		Count
91.0			1
Version		Count
86.0			1
Version		Count
16.0			1
15.0			1
23.0			1
3.0			1
88.0			1
75.0			1
Version		Count
81.0			1
24.0			1
61.0			1
82.0			1
76.0			1
6.0			1
Version		Count
1.0			1
41.0			1
20.0			1
6.0			1
54.0			1
55.0			1
Version		Count
88.0			1
53.0			1
98.0			1
56.0			1
79.0			1
29.0			1
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
81.0			1
36.0			1
61.0			1
82.0			2
75.0			1
97.0			1
45.0			1
37.0			1
17.0			1
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
Version		Count
